date,Democrats,Republicans,Media,Public,Democratic_Supporters,Republican_Supporters,Random_Users
2013-01-01,0.082,0,0.006,0.003,0.006,0.001,0.008
2013-01-02,0.12,0.001,0,0,0.004,0,0.003
2013-01-03,0.194,0.004,0.024,0.009,0.031,0.001,0.001
2013-01-04,0.197,0.001,0.005,0.001,0.03,0,0.002
2013-01-05,0.047,0.008,0.001,0,0.007,0,0.005
2013-01-06,0.117,0.002,0,0.009,0.01,0,0.011
2013-01-07,0.227,0.002,0.002,0.005,0.015,0.001,0.004
2013-01-08,0.212,0.01,0,0.002,0.013,0.001,0.002
2013-01-09,0.23,0.004,0.003,0.002,0.012,0,0.001
2013-01-10,0.217,0.008,0.001,0,0.022,0,0.006
2013-01-11,0.25,0.015,0.001,0.002,0.015,0.001,0.001
2013-01-12,0.127,0.021,0.001,0.004,0.009,0,0.003
2013-01-13,0.087,0.006,0.006,0.003,0.002,0,0.008
2013-01-14,0.213,0.002,0,0.006,0.022,0,0.005
2013-01-15,0.187,0.001,0.004,0.004,0.007,0,0.004
2013-01-16,0.174,0.002,0.019,0.001,0.011,0,0.008
2013-01-17,0.237,0.023,0.002,0.003,0.011,0,0.004
2013-01-18,0.202,0.005,0.009,0,0.013,0,0.002
2013-01-19,0.118,0.001,0,0,0.004,0,0
2013-01-20,0.075,0.004,0.002,0.002,0.008,0,0.007
2013-01-21,0.071,0.01,0.001,0,0.002,0,0
2013-01-22,0.157,0.006,0.002,0.004,0.004,0,0.006
2013-01-23,0.13,0.002,0.001,0.001,0.011,0,0.008
2013-01-24,0.177,0.001,0,0.007,0.026,0,0.001
2013-01-25,0.202,0.009,0,0.005,0.018,0.004,0.009
2013-01-26,0.081,0.005,0.007,0.004,0.021,0,0.013
2013-01-27,0.077,0.005,0.039,0.009,0.009,0,0
2013-01-28,0.189,0.004,0.01,0.004,0.023,0,0.006
2013-01-29,0.137,0.002,0.002,0,0.019,0.001,0.001
2013-01-30,0.168,0.006,0.01,0.002,0.026,0.002,0.004
2013-01-31,0.236,0,0.01,0.001,0.019,0,0.006
2013-02-01,0.247,0.005,0.005,0,0.008,0.002,0.003
2013-02-02,0.091,0.001,0,0,0.006,0.001,0.004
2013-02-03,0.13,0.007,0.003,0,0.008,0,0
2013-02-04,0.177,0.001,0.003,0,0.015,0,0.006
2013-02-05,0.206,0.006,0,0.007,0.017,0,0.004
2013-02-06,0.233,0.001,0.008,0,0.017,0,0.006
2013-02-07,0.17,0.002,0.001,0,0.017,0,0.014
2013-02-08,0.253,0.006,0.005,0.003,0.015,0,0.001
2013-02-09,0.037,0.001,0.003,0,0.005,0,0.005
2013-02-10,0.147,0.003,0.001,0,0.005,0.001,0.002
2013-02-11,0.184,0.003,0.012,0,0.012,0,0.001
2013-02-12,0.133,0.001,0.005,0.001,0.019,0,0.007
2013-02-13,0.228,0.001,0.014,0.001,0.026,0,0.01
2013-02-14,0.226,0.003,0.005,0,0.009,0,0
2013-02-15,0.261,0.008,0,0.001,0.016,0,0
2013-02-16,0.121,0.008,0,0,0.009,0,0
2013-02-17,0.093,0.001,0.006,0.007,0.005,0.002,0.002
2013-02-18,0.131,0.001,0,0,0.005,0.001,0.003
2013-02-19,0.243,0.006,0.002,0,0.014,0.001,0.001
2013-02-20,0.214,0.002,0,0.002,0.029,0,0.006
2013-02-21,0.281,0,0.001,0.005,0.015,0,0
2013-02-22,0.215,0.014,0.001,0.002,0.009,0.002,0.002
2013-02-23,0.073,0.004,0,0.001,0.014,0.001,0.005
2013-02-24,0.137,0.007,0.004,0,0.005,0.005,0
2013-02-25,0.133,0,0.004,0.001,0.007,0.002,0.002
2013-02-26,0.203,0.001,0.002,0.009,0.016,0,0
2013-02-27,0.19,0.003,0.013,0,0.012,0,0
2013-02-28,0.145,0.003,0.001,0.002,0.018,0,0.002
2013-03-01,0.217,0.005,0.001,0,0.016,0,0
2013-03-02,0.115,0.002,0.009,0.001,0.001,0,0.001
2013-03-03,0.04,0.004,0,0,0.004,0,0.008
2013-03-04,0.178,0.048,0.003,0,0.014,0,0.003
2013-03-05,0.201,0.019,0.023,0,0.011,0.001,0
2013-03-06,0.203,0,0.002,0,0.013,0,0.007
2013-03-07,0.204,0.002,0.002,0.001,0.015,0,0
2013-03-08,0.194,0.004,0.011,0,0.018,0,0
2013-03-09,0.14,0.007,0.003,0.001,0.012,0,0
2013-03-10,0.05,0.01,0,0.003,0.007,0,0.005
2013-03-11,0.206,0.002,0.005,0,0.017,0,0.002
2013-03-12,0.194,0.004,0.023,0.002,0.022,0,0.004
2013-03-13,0.201,0.002,0.002,0.001,0.021,0.001,0.002
2013-03-14,0.202,0.011,0.008,0.003,0.011,0.001,0
2013-03-15,0.253,0.005,0.005,0.003,0.02,0.001,0
2013-03-16,0.111,0.023,0.031,0,0.004,0,0.003
2013-03-17,0.069,0.002,0.021,0.003,0.011,0.004,0.007
2013-03-18,0.23,0.003,0,0.006,0.026,0,0.001
2013-03-19,0.221,0.003,0.001,0.003,0.024,0,0.003
2013-03-20,0.233,0.005,0.012,0.001,0.024,0,0.001
2013-03-21,0.201,0.012,0.001,0.004,0.023,0,0
2013-03-22,0.212,0,0.001,0.003,0.032,0.001,0.003
2013-03-23,0.181,0.002,0,0.001,0.014,0.001,0.011
2013-03-24,0.085,0.002,0.001,0,0.019,0,0.003
2013-03-25,0.235,0.001,0.05,0,0.034,0,0.005
2013-03-26,0.228,0.002,0.013,0.005,0.028,0,0.001
2013-03-27,0.228,0.003,0.018,0.006,0.031,0,0.002
2013-03-28,0.246,0.001,0.001,0.004,0.025,0.003,0.001
2013-03-29,0.211,0.003,0,0.004,0.009,0,0.003
2013-03-30,0.089,0.005,0,0,0.014,0,0.003
2013-03-31,0.054,0.001,0.018,0.002,0.01,0,0.005
2013-04-01,0.237,0.001,0.012,0,0.029,0,0
2013-04-02,0.232,0.005,0.008,0.001,0.061,0,0.006
2013-04-03,0.267,0,0.003,0.019,0.036,0,0.001
2013-04-04,0.187,0.007,0.002,0,0.008,0,0.001
2013-04-05,0.255,0.008,0,0.001,0.026,0,0
2013-04-06,0.071,0.001,0,0.002,0.016,0,0.001
2013-04-07,0.124,0.003,0.001,0,0.011,0,0.003
2013-04-08,0.198,0.005,0,0,0.032,0,0
2013-04-09,0.174,0.001,0,0,0.024,0.001,0.003
2013-04-10,0.182,0.001,0.001,0.002,0.027,0,0.003
2013-04-11,0.185,0.004,0.004,0.001,0.034,0,0.001
2013-04-12,0.234,0.003,0.004,0,0.028,0,0
2013-04-13,0.204,0.003,0.001,0,0.012,0,0.011
2013-04-14,0.065,0.005,0.003,0.001,0.013,0,0.007
2013-04-15,0.17,0.004,0.001,0,0.009,0,0.003
2013-04-16,0.16,0.004,0.013,0.002,0.015,0,0.002
2013-04-17,0.152,0.001,0,0.007,0.04,0,0.005
2013-04-18,0.194,0,0.001,0.003,0.034,0,0
2013-04-19,0.224,0.006,0.003,0,0.026,0,0.005
2013-04-20,0.089,0.013,0.003,0,0.01,0,0
2013-04-21,0.142,0.008,0.002,0,0.005,0,0.003
2013-04-22,0.23,0.009,0.008,0.001,0.025,0,0.004
2013-04-23,0.235,0.003,0.004,0.003,0.02,0,0
2013-04-24,0.226,0.001,0.006,0.006,0.031,0.001,0.001
2013-04-25,0.251,0.007,0.001,0.002,0.017,0,0.001
2013-04-26,0.251,0,0,0,0.023,0.001,0.01
2013-04-27,0.044,0.011,0,0.001,0.029,0,0.001
2013-04-28,0.103,0.002,0,0.001,0.015,0,0
