date,Obama,Romney
2012/08/16 00:00:00,152.6,119.2
2012/08/16 00:10:00,140.7,99.4
2012/08/16 00:20:00,133.5,107.6
2012/08/16 00:30:00,116.5,88.5
2012/08/16 00:40:00,119.3,84.9
2012/08/16 00:50:00,116.6,73.3
2012/08/16 01:00:00,115.1,73.9
2012/08/16 01:10:00,107.2,72
2012/08/16 01:20:00,100.2,60.6
2012/08/16 01:30:00,99.3,65.7
2012/08/16 01:40:00,98.1,59.7
2012/08/16 01:50:00,99.1,52.1
2012/08/16 02:00:00,91.3,54.6
2012/08/16 02:10:00,86.6,49
2012/08/16 02:20:00,79,52.9
2012/08/16 02:30:00,65.7,43.9
2012/08/16 02:40:00,84.1,44.1
2012/08/16 02:50:00,70.4,37
2012/08/16 03:00:00,77.8,39.9
2012/08/16 03:10:00,59.4,39.2
2012/08/16 03:20:00,56.4,38.7
2012/08/16 03:30:00,48.7,36.3
2012/08/16 03:40:00,45.8,32.2
2012/08/16 03:50:00,47.2,30.5
2012/08/16 04:00:00,63.4,28.6
2012/08/16 04:10:00,65.5,24.8
2012/08/16 04:20:00,53.3,23.2
2012/08/16 04:30:00,49.5,25.2
2012/08/16 04:40:00,39.9,26.3
2012/08/16 04:50:00,39.6,25.1
2012/08/16 05:00:00,48.6,26.2
2012/08/16 05:10:00,42.9,25.3
2012/08/16 05:20:00,37.3,26.4
2012/08/16 05:30:00,42.2,18.7
2012/08/16 05:40:00,50.1,25.5
2012/08/16 05:50:00,45.2,25.6
2012/08/16 06:00:00,53.9,25.7
2012/08/16 06:10:00,55.1,31.9
2012/08/16 06:20:00,60.1,32
2012/08/16 06:30:00,65.4,31
2012/08/16 06:40:00,63.8,40.5
2012/08/16 06:50:00,67.2,34.6
2012/08/16 07:00:00,81.8,48.1
2012/08/16 07:10:00,89.8,60.5
2012/08/16 07:20:00,81.3,66
2012/08/16 07:30:00,90,61.7
2012/08/16 07:40:00,102.2,58.6
2012/08/16 07:50:00,104.9,61.8
2012/08/16 08:00:00,161.9,72
2012/08/16 08:10:00,113.6,67.9
2012/08/16 08:20:00,133.4,77.8
2012/08/16 08:30:00,151.6,74.8
2012/08/16 08:40:00,156.3,78
2012/08/16 08:50:00,159.6,80
2012/08/16 09:00:00,167.8,100.9
2012/08/16 09:10:00,184.2,92.9
2012/08/16 09:20:00,192.5,106.1
2012/08/16 09:30:00,176.6,95.3
2012/08/16 09:40:00,211.5,113
2012/08/16 09:50:00,180.3,101.4
2012/08/16 10:00:00,209.2,118.3
2012/08/16 10:10:00,198.7,123.1
2012/08/16 10:20:00,227.4,131.2
2012/08/16 10:30:00,222.2,133.8
2012/08/16 10:40:00,226.9,138.9
2012/08/16 10:50:00,238.1,153.6
2012/08/16 11:00:00,217.6,134.8
2012/08/16 11:10:00,213.8,148.8
2012/08/16 11:20:00,203.2,130.3
2012/08/16 11:30:00,217.7,150.7
2012/08/16 11:40:00,206.7,118.8
2012/08/16 11:50:00,206.8,124
2012/08/16 12:00:00,222.3,129
2012/08/16 12:10:00,240.4,205
2012/08/16 12:20:00,208.5,198.7
2012/08/16 12:30:00,198.1,196.6
2012/08/16 12:40:00,205.8,178.1
2012/08/16 12:50:00,196.1,152.5
2012/08/16 13:00:00,196.3,185.7
2012/08/16 13:10:00,199.1,180.2
2012/08/16 13:20:00,213.7,176.2
2012/08/16 13:30:00,187.2,167
2012/08/16 13:40:00,201.3,162.2
2012/08/16 13:50:00,203.1,146.3
2012/08/16 14:00:00,222.7,158.6
2012/08/16 14:10:00,210.5,143.9
2012/08/16 14:20:00,190.7,152.7
2012/08/16 14:30:00,199.9,136.5
2012/08/16 14:40:00,171.6,138.4
2012/08/16 14:50:00,189.2,136.8
2012/08/16 15:00:00,176.4,146.5
2012/08/16 15:10:00,188.6,142.6
2012/08/16 15:20:00,203,144.8
2012/08/16 15:30:00,196.9,143.2
2012/08/16 15:40:00,205.6,132.7
2012/08/16 15:50:00,181.3,139.2
2012/08/16 16:00:00,198.9,155.5
2012/08/16 16:10:00,181.6,147.3
2012/08/16 16:20:00,173.5,143.2
2012/08/16 16:30:00,193.9,158.3
2012/08/16 16:40:00,193.9,156.4
2012/08/16 16:50:00,192.9,165.7
2012/08/16 17:00:00,229.8,198
2012/08/16 17:10:00,237.8,218.5
2012/08/16 17:20:00,242.3,197.9
2012/08/16 17:30:00,210.3,192.9
2012/08/16 17:40:00,222.4,184.3
2012/08/16 17:50:00,197.9,150.7
2012/08/16 18:00:00,201.7,169.5
2012/08/16 18:10:00,217.3,159.6
2012/08/16 18:20:00,203.8,162
2012/08/16 18:30:00,15.4,10.2
2012/08/16 18:40:00,798.9,661.9
2012/08/16 18:50:00,788,639.2
2012/08/16 19:00:00,1311.8,957.6
2012/08/16 19:10:00,116.7,119
2012/08/16 19:20:00,168.6,153.1
2012/08/16 19:30:00,198.2,146.6
2012/08/16 19:40:00,195.2,135.9
2012/08/16 19:50:00,176.6,134.4
2012/08/16 20:00:00,181.2,156.8
2012/08/16 20:10:00,173.3,161.4
2012/08/16 20:20:00,165.5,167.6
2012/08/16 20:30:00,171.4,145
2012/08/16 20:40:00,171.7,144.3
2012/08/16 20:50:00,194.7,161.6
2012/08/16 21:00:00,178.7,149.5
2012/08/16 21:10:00,201.6,148.8
2012/08/16 21:20:00,202.3,147.6
2012/08/16 21:30:00,194.9,145.8
2012/08/16 21:40:00,191.2,129.4
2012/08/16 21:50:00,201.4,141.7
2012/08/16 22:00:00,191.5,162.8
2012/08/16 22:10:00,60.7,51.9
2012/08/16 22:20:00,913.8,734.8
2012/08/16 22:30:00,922.1,728.5
2012/08/16 22:40:00,915.5,746.7
2012/08/16 22:50:00,898.9,728.2
2012/08/16 23:00:00,580.7,533.2
2012/08/16 23:10:00,115,97.4
2012/08/16 23:20:00,160,124.3
2012/08/16 23:30:00,150.8,105
2012/08/16 23:40:00,145.3,106.3
2012/08/16 23:50:00,144.2,98.9
2012/08/17 00:00:00,142.4,99.9
2012/08/17 00:10:00,130.8,93.9
2012/08/17 00:20:00,114.5,83.8
2012/08/17 00:30:00,121.4,99
2012/08/17 00:40:00,100.4,100.7
2012/08/17 00:50:00,96,83.6
2012/08/17 01:00:00,93.3,83.4
2012/08/17 01:10:00,93.3,71.7
2012/08/17 01:20:00,100.1,67.6
2012/08/17 01:30:00,96.2,63.5
2012/08/17 01:40:00,92.8,55.8
2012/08/17 01:50:00,76.4,49.7
2012/08/17 02:00:00,70.1,52.2
2012/08/17 02:10:00,67,49.1
2012/08/17 02:20:00,67.5,50.1
2012/08/17 02:30:00,12.8,9.6
2012/08/17 02:40:00,68.5,78.9
2012/08/17 02:50:00,70.5,55.8
2012/08/17 03:00:00,88.6,45.9
2012/08/17 03:10:00,35.5,28.9
2012/08/17 03:20:00,40,31.1
2012/08/17 03:30:00,37.5,30.5
2012/08/17 03:40:00,34.9,29
2012/08/17 03:50:00,34.9,26.1
2012/08/17 04:00:00,37.5,26.1
2012/08/17 04:10:00,37.9,22.4
2012/08/17 04:20:00,37.1,27.5
2012/08/17 04:30:00,34.5,21.9
2012/08/17 04:40:00,34.1,25.5
2012/08/17 04:50:00,36,22.8
2012/08/17 05:00:00,38.3,25.1
2012/08/17 05:10:00,35.3,24.6
2012/08/17 05:20:00,37.9,29.6
2012/08/17 05:30:00,43.5,21.5
2012/08/17 05:40:00,42.9,28.5
2012/08/17 05:50:00,41.6,25.9
2012/08/17 06:00:00,42.5,37.2
2012/08/17 06:10:00,49.7,32.2
2012/08/17 06:20:00,51.5,32.7
2012/08/17 06:30:00,62.7,37.8
2012/08/17 06:40:00,55,41.3
2012/08/17 06:50:00,55.3,40.7
2012/08/17 07:00:00,65.2,58
2012/08/17 07:10:00,66.5,54.8
2012/08/17 07:20:00,84.8,77.6
2012/08/17 07:30:00,69.5,64.6
2012/08/17 07:40:00,97.1,75.5
2012/08/17 07:50:00,98.2,76.5
2012/08/17 08:00:00,104.2,89.4
2012/08/17 08:10:00,102.3,90.7
2012/08/17 08:20:00,106.7,111.1
2012/08/17 08:30:00,99.3,101.4
2012/08/17 08:40:00,120.8,101.6
2012/08/17 08:50:00,116,98
2012/08/17 09:00:00,162.7,131.9
2012/08/17 09:10:00,182.6,137.6
2012/08/17 09:20:00,182,143.9
2012/08/17 09:30:00,163.4,139.6
2012/08/17 09:40:00,169.9,155
2012/08/17 09:50:00,184.8,133.9
2012/08/17 10:00:00,193.6,144.7
2012/08/17 10:10:00,185.3,143.8
2012/08/17 10:20:00,205,143.4
2012/08/17 10:30:00,185.8,130.5
2012/08/17 10:40:00,193,115.5
2012/08/17 10:50:00,197.3,132.9
2012/08/17 11:00:00,195,144.6
2012/08/17 11:10:00,195.4,136.8
2012/08/17 11:20:00,215.2,156.4
2012/08/17 11:30:00,191.1,128.1
2012/08/17 11:40:00,208.2,131
2012/08/17 11:50:00,187,140.3
2012/08/17 12:00:00,186.4,138.8
2012/08/17 12:10:00,181.7,144.1
2012/08/17 12:20:00,201.6,143.1
2012/08/17 12:30:00,179.3,145.3
2012/08/17 12:40:00,170.8,138.1
2012/08/17 12:50:00,172.2,129.8
2012/08/17 13:00:00,185.4,133.8
2012/08/17 13:10:00,171.3,124.4
2012/08/17 13:20:00,167.6,127.2
2012/08/17 13:30:00,190.4,115.2
2012/08/17 13:40:00,207.2,111.1
2012/08/17 13:50:00,193.4,128.2
2012/08/17 14:00:00,198.2,127.5
2012/08/17 14:10:00,173.7,123.5
2012/08/17 14:20:00,159.5,115.8
2012/08/17 14:30:00,164,121.9
2012/08/17 14:40:00,179.2,138.8
2012/08/17 14:50:00,181.3,130.1
2012/08/17 15:00:00,198.5,139.8
2012/08/17 15:10:00,199.6,161.1
2012/08/17 15:20:00,218.8,148.9
2012/08/17 15:30:00,179.7,130.4
2012/08/17 15:40:00,196,138.5
2012/08/17 15:50:00,209,156.7
2012/08/17 16:00:00,130.4,98
2012/08/17 16:10:00,50.1,46
2012/08/17 16:20:00,190.7,192.1
2012/08/17 16:30:00,191.9,183
2012/08/17 16:40:00,188.7,169.3
2012/08/17 16:50:00,185.3,151.2
2012/08/17 17:00:00,171.5,130.4
2012/08/17 17:10:00,156.7,135.8
2012/08/17 17:20:00,173.4,132.2
2012/08/17 17:30:00,188,137.6
2012/08/17 17:40:00,183.1,139.9
2012/08/17 17:50:00,164.6,124.7
2012/08/17 18:00:00,171.9,138.5
2012/08/17 18:10:00,175,144.2
2012/08/17 18:20:00,174.3,148.8
2012/08/17 18:30:00,160.5,130.3
2012/08/17 18:40:00,157.4,137.3
2012/08/17 18:50:00,150.8,123.7
2012/08/17 19:00:00,148.8,120.3
2012/08/17 19:10:00,160.3,127.4
2012/08/17 19:20:00,145.6,115.5
2012/08/17 19:30:00,157.2,120
2012/08/17 19:40:00,140.9,135.2
2012/08/17 19:50:00,175.7,140.4
2012/08/17 20:00:00,179.7,151.9
2012/08/17 20:10:00,157.6,139.5
2012/08/17 20:20:00,146.1,120.1
2012/08/17 20:30:00,154.8,111.1
2012/08/17 20:40:00,156,117.4
2012/08/17 20:50:00,155.8,104.1
2012/08/17 21:00:00,149.4,110
2012/08/17 21:10:00,139.4,106.3
2012/08/17 21:20:00,126.1,104.1
2012/08/17 21:30:00,122,109.9
2012/08/17 21:40:00,126.8,112.8
2012/08/17 21:50:00,141,108.1
2012/08/17 22:00:00,129.3,93.6
2012/08/17 22:10:00,125.9,99
2012/08/17 22:20:00,142,104.7
2012/08/17 22:30:00,147.1,114.7
2012/08/17 22:40:00,139.7,90.4
2012/08/17 22:50:00,153.1,129.7
2012/08/17 23:00:00,147.8,115.2
2012/08/17 23:10:00,133.2,100.7
2012/08/17 23:20:00,127,91.5
2012/08/17 23:30:00,143.9,90.7
2012/08/17 23:40:00,125.3,88.4
2012/08/17 23:50:00,123.7,80.4
2012/08/18 00:00:00,122,84.6
2012/08/18 00:10:00,115.5,71.5
2012/08/18 00:20:00,97.6,62.3
2012/08/18 00:30:00,115.9,53.6
2012/08/18 00:40:00,94.3,57.1
2012/08/18 00:50:00,85.7,50.3
2012/08/18 01:00:00,81.4,52.8
2012/08/18 01:10:00,79.1,48.9
2012/08/18 01:20:00,78.3,59.5
2012/08/18 01:30:00,67.4,41
2012/08/18 01:40:00,65,46.3
2012/08/18 01:50:00,65.6,33.3
2012/08/18 02:00:00,59.6,37.5
2012/08/18 02:10:00,58.2,36.7
2012/08/18 02:20:00,58.4,34.3
2012/08/18 02:30:00,54.5,33.6
2012/08/18 02:40:00,51.4,27.2
2012/08/18 02:50:00,49.2,32
2012/08/18 03:00:00,46.4,27.8
2012/08/18 03:10:00,53.2,23.7
2012/08/18 03:20:00,15,8.8
2012/08/18 03:30:00,37.6,44.1
2012/08/18 03:40:00,77.2,23.8
2012/08/18 03:50:00,72.4,34.5
2012/08/18 04:00:00,65.4,20.4
2012/08/18 04:10:00,78.5,55.9
2012/08/18 04:20:00,6.1,7.6
2012/08/18 04:30:00,96.2,18.7
2012/08/18 04:40:00,56.1,34.2
2012/08/18 04:50:00,72.3,47.6
2012/08/18 05:00:00,83.3,34.5
2012/08/18 05:10:00,89.7,64
2012/08/18 05:20:00,27.4,25
2012/08/18 05:30:00,28,25.4
2012/08/18 05:40:00,31,19.1
2012/08/18 05:50:00,29.3,18
2012/08/18 06:00:00,40.9,20.4
2012/08/18 06:10:00,52.3,22.7
2012/08/18 06:20:00,43.2,22
2012/08/18 06:30:00,50.9,21.4
2012/08/18 06:40:00,52,21.8
2012/08/18 06:50:00,51.4,25.9
2012/08/18 07:00:00,54.8,35
2012/08/18 07:10:00,51.6,34.9
2012/08/18 07:20:00,73.1,38.5
2012/08/18 07:30:00,50.7,35.3
2012/08/18 07:40:00,59.5,39.1
2012/08/18 07:50:00,59.7,36.3
2012/08/18 08:00:00,64.2,41
2012/08/18 08:10:00,66.8,48
2012/08/18 08:20:00,89.4,55.8
2012/08/18 08:30:00,91.8,52.3
2012/08/18 08:40:00,113.8,54.7
2012/08/18 08:50:00,103,54.8
2012/08/18 09:00:00,94.8,54.4
2012/08/18 09:10:00,102.8,67.4
2012/08/18 09:20:00,93.2,61.7
2012/08/18 09:30:00,106.2,64.8
2012/08/18 09:40:00,94.6,66.1
2012/08/18 09:50:00,101.5,73.7
2012/08/18 10:00:00,120.4,74
2012/08/18 10:10:00,106.6,74.3
2012/08/18 10:20:00,113.8,86
2012/08/18 10:30:00,140.9,106.1
2012/08/18 10:40:00,134.7,102.2
2012/08/18 10:50:00,133.7,100.5
2012/08/18 11:00:00,134,101.7
