"TOPIC","C1","C2","C3","C4","C5"
"Topic 1: Anniversary of the Civil Rights Act",3,3,1,1,2
"Topic 2: Severe Weather in Oklahoma",1,3,1,1,1
"Topic 3: Investigation of Attack on American Embassy in Benghazi",2,3,3,3,3
"Topic 4: Public Communication by House Republicans",2,2,2,3,2
"Topic 5: Memorial Day",2,1,1,1,1
"Topic 6: Prayers & Thoughts After Disasters",1,2,1,1,1
"Topic 7: 100 Days of #BringBackOurGirls campaign",2,3,1,3,3
"Topic 8: Public Communication by Senate Republicans",2,2,2,2,2
"Topic 9: Gender Wage Gap",3,3,3,3,3
"Topic 10: Thanksgiving",1,1,3,3,1
"Topic 11: Hobby Lobby Supreme Court Decision (Democrats)",3,3,3,3,3
"Topic 12: Republican Issues, Spring 2013",2,3,3,3,3
"Topic 13: Small Business",3,3,2,1,2
"Topic 14: Marriage Equality",3,3,3,3,3
"Topic 15: Gun Violence",3,3,3,3,3
"Topic 16: Abortion (Pro-Life)",3,3,3,3,3
"Topic 17: 2013 Government Shutdown (Republicans)",2,3,3,3,3
"Topic 18: Veteran Affairs Delays Scandal",3,3,3,3,3
"Topic 19: General Vocabulary (All)",1,1,1,1,1
"Topic 20: NSA Surveillance Scandal",3,3,3,3,3
"Topic 21: General Vocabulary (Senate)",2,1,2,2,2
"Topic 22: Follow Friday Tweets (#FF)",1,1,1,2,2
"Topic 23: #BringBackOurGirls campaign",2,3,3,3,3
"Topic 24: Deaths of Mandela, Thatcher, Lautenberg",1,1,1,1,1
"Topic 25: Gold Medal Awards",2,1,1,3,1
"Topic 26: 2013 Government Shutdown (Democrats)",2,3,3,3,3
"Topic 27: Student Debt (2014)",3,3,3,3,3
"Topic 28: Employment Non-Discrimination Act",3,3,3,3,3
"Topic 29: General Vocabulary (House)",2,1,2,2,2
"Topic 30: Valentine's Day",1,1,1,1,1
"Topic 31: Public Communication by House Democrats",2,2,1,2,1
"Topic 32: Islamic State",3,3,3,3,2
"Topic 33: Use of Military Force in Syria",3,3,3,3,3
"Topic 34: Weekly GOP Address",2,2,2,2,2
