"cov","out","day","data_type","lwr","pe","upr"
"Democrats in Congress","Media",1,"Effect of a one time 10 percentage point attention increase at day 0",0.0563234378575639,0.0861582916058645,0.115013709440532
"Democrats in Congress","Media",1,"Effect of a structural 10 percentage point attention increase at day 0",0.0563234378575639,0.0861582916058645,0.115013709440532
"Democrats in Congress","Media",2,"Effect of a one time 10 percentage point attention increase at day 0",0.11076865353327,0.164919806179287,0.211612574216546
"Democrats in Congress","Media",2,"Effect of a structural 10 percentage point attention increase at day 0",0.149955211716765,0.22486371293338,0.291632395241832
"Democrats in Congress","Media",3,"Effect of a one time 10 percentage point attention increase at day 0",0.191019369487009,0.251166796130917,0.308182138336003
"Democrats in Congress","Media",3,"Effect of a structural 10 percentage point attention increase at day 0",0.294024103969511,0.405586448462929,0.508376545009764
"Democrats in Congress","Media",4,"Effect of a one time 10 percentage point attention increase at day 0",0.218028225938732,0.299808688832992,0.371250998227697
"Democrats in Congress","Media",4,"Effect of a structural 10 percentage point attention increase at day 0",0.418296545722595,0.575526147890243,0.716519269589924
"Democrats in Congress","Media",5,"Effect of a one time 10 percentage point attention increase at day 0",0.223165304998794,0.318751211120388,0.396531297599781
"Democrats in Congress","Media",5,"Effect of a structural 10 percentage point attention increase at day 0",0.504669070810587,0.705703369299351,0.877962576200937
"Democrats in Congress","Media",6,"Effect of a one time 10 percentage point attention increase at day 0",0.193166687536044,0.304469596472657,0.386806953649942
"Democrats in Congress","Media",6,"Effect of a structural 10 percentage point attention increase at day 0",0.528299784819126,0.773164057047862,0.969636476498393
"Democrats in Congress","Media",7,"Effect of a one time 10 percentage point attention increase at day 0",0.170918480836435,0.298504148530108,0.413921304660624
"Democrats in Congress","Media",7,"Effect of a structural 10 percentage point attention increase at day 0",0.515091192281136,0.803578507433286,1.04732828968215
"Democrats in Congress","Media",8,"Effect of a one time 10 percentage point attention increase at day 0",0.189534048649902,0.333335447700809,0.465822610558805
"Democrats in Congress","Media",8,"Effect of a structural 10 percentage point attention increase at day 0",0.516498468973169,0.847342760809822,1.13773433556098
"Democrats in Congress","Media",9,"Effect of a one time 10 percentage point attention increase at day 0",0.220221515519259,0.379310311994214,0.527102173805438
"Democrats in Congress","Media",9,"Effect of a structural 10 percentage point attention increase at day 0",0.539713895948457,0.91041203364603,1.24425830679398
"Democrats in Congress","Media",10,"Effect of a one time 10 percentage point attention increase at day 0",0.250717786892293,0.425717088291614,0.586857654530499
